Date;Close/Last;Volume;Open;High;Low
12.02.2022;147.81;65447450;145.96;148;145.65
12.01.2022;148.31;71250420;148.21;149.13;146.61
11.30.2022;148.03;111380900;141.395;148.72;140.55
11.29.2022;141.17;83763800;144.29;144.81;140.355
11.28.2022;144.22;69346520;145.14;146.64;143.38
11.25.2022;148.11;35195860;148.305;148.88;147.12
11.23.2022;151.07;58301400;149.45;151.83;149.34
11.22.2022;150.18;51804130;148.13;150.42;146.925
11.21.2022;148.01;58724070;150.16;150.37;147.715
11.18.2022;151.29;74829570;152.305;152.7;149.97
11.17.2022;150.72;80389400;146.43;151.48;146.15
11.16.2022;148.79;64218270;149.13;149.87;147.29
11.15.2022;150.04;89868330;152.215;153.59;148.5613
11.14.2022;148.28;73374110;148.97;150.28;147.43
11.11.2022;149.7;93979670;145.82;150.01;144.37
11.10.2022;146.87;118854000;141.24;146.87;139.5
11.09.2022;134.87;74917790;138.5;138.55;134.5933
11.08.2022;139.5;89908480;140.41;141.43;137.49
11.07.2022;138.92;83374630;137.11;139.145;135.671
